kod_cast,radon,populace,okres,kraj
042404,1.0,1128.0,Karviná,Moravskoslezský kraj
042412,1.0,1349.0,Karviná,Moravskoslezský kraj
029602,1.0,886.0,Frýdek-Místek,Moravskoslezský kraj
196517,1.0,357.0,Frýdek-Místek,Moravskoslezský kraj
099899,1.0,3662.0,Frýdek-Místek,Moravskoslezský kraj
171077,1.0,342.0,Frýdek-Místek,Moravskoslezský kraj
084891,1.0,1544.0,Frýdek-Místek,Moravskoslezský kraj
148873,1.0,2502.0,Karviná,Moravskoslezský kraj
120375,1.0,723.0,Karviná,Moravskoslezský kraj
001091,1.0,1304.0,Frýdek-Místek,Moravskoslezský kraj
042781,1.0,978.0,Frýdek-Místek,Moravskoslezský kraj
094943,1.0,1302.0,Frýdek-Místek,Moravskoslezský kraj
035815,1.0,2931.0,Zlín,Zlínský kraj
151041,1.0,852.0,Frýdek-Místek,Moravskoslezský kraj
063053,1.0,338.0,Frýdek-Místek,Moravskoslezský kraj
120367,1.0,540.0,Karviná,Moravskoslezský kraj
000124,1.0,3742.0,Karviná,Moravskoslezský kraj
